cod_uf,cod_munic,munic,agr10,agr11,agr12,agr13,ind10,ind11,ind12,ind13,ser1_10,ser1_11,ser1_12,ser1_13,apu10,apu11,apu12,apu13,vab10,vab11,vab12,vab13,imp10,imp11,imp12,imp13,pib10,pib11,pib12,pib13,pop10,pop11,pop12,pop13,pcap10,pcap11,pcap12,pcap13
33,3303856,Paty do Alferes,20970.907,27486.779,25500.72,31109.164,31863.871,28808.53,32887.569,39500.81,91842.849,105255.358,115215.505,122638.844,118523.349,131807.977,140746.594,161422.77,263200.976,293358.644,314350.388,354671.588,24756.264,27923.122,29114.949,39431.953,287957.24,321281.766,343465.337,394103.541,26381,26469,26575,26696,10915.33,12138.04,12924.38,14762.64
33,3303906,Petr¢polis,28704.961,41952.379,56460.929,59140.965,2032847.099,3041758.297,3178809.627,2478461.691,3068405.601,3690522.519,4005584.227,4105225.121,1263067.331,1382693.599,1511531.693,1694029.648,6393024.992,8156926.793,8752386.476,8336857.424,842917.674,1130607.705,1225943.263,1122178.821,7235942.666,9287534.499,9978329.739,9459036.245,296044,296565,297192,297888,24442.12,31317.03,33575.36,31753.67
33,3303955,Pinheiral,2127.312,2829.407,3087.542,3434.733,19178.885,24798.811,25252.15,31394.131,70394.93,72459.909,82077.019,92408.825,103104.819,115623.138,124455.909,137271.835,194805.946,215711.266,234872.62,264509.524,12856.809,11549.223,13220.519,15128.12,207662.755,227260.489,248093.139,279637.644,22724,22968,23208,23488,9138.48,9894.66,10689.98,11905.55
33,3304003,Pira¡,8435.419,10063.108,11174.188,11175.279,536359.872,581076.087,689534.477,564340.595,210495.855,227742.97,305399.624,334948.452,151199.809,166013.673,178032.362,206404.272,906490.955,984895.837,1184140.652,1116868.599,147925.375,161932.022,178611.295,228930.544,1054416.33,1146827.859,1362751.947,1345799.142,26309,26637,26948,27311,40078.16,43053.94,50569.69,49276.82
33,3304102,Porci£ncula,11704.973,20343.389,22520.896,19960.56,14920.897,15798.581,20067.906,26346.738,68222.143,79761.505,85058.356,89342.217,84004.604,94569.5,100230.044,115440.494,178852.617,210472.976,227877.202,251090.009,3534.462,6544.958,5868.046,13745.165,182387.079,217017.934,233745.247,264835.174,17771,17899,18034,18188,10263.19,12124.58,12961.36,14560.98
33,3304110,Porto Real,545.007,617.652,523.476,3680.914,1758499.981,1449959.595,1401414.046,1832203.519,1351335.866,1001535.631,890431.98,1057306.725,99787.445,124287.48,151175.497,180942.297,3210168.3,2576400.357,2443544.999,3074133.455,1965184.613,1971063.125,1607770.29,1441559.077,5175352.913,4547463.482,4051315.289,4515692.532,16574,16938,17272,17663,312257.33,268477,234559.71,255658.3
33,3304128,Quatis,6906.45,7805.962,10284.388,11917.988,116130.086,103665.035,65877.857,56008.19,72580.703,87974.964,90096.138,94682.275,60828.672,68203.369,74149.379,82227.083,256445.912,267649.329,240407.762,244835.536,14756.182,13424.79,11948.601,16509.267,271202.094,281074.119,252356.363,261344.803,12831,12952,13105,13283,21136.47,21701.21,19256.49,19675.13
33,3304144,Queimados,2778.196,2501.027,2376.351,2496.021,629318.442,745588.424,1249769.672,1513835.639,516568.034,585938.616,755516.201,958930.199,562629.7,617302.35,652110.795,746674.047,1711294.372,1951330.416,2659773.019,3221935.906,330299.626,376066.867,411952.823,458121.905,2041593.998,2327397.283,3071725.841,3680057.81,137938,139188,140374,141753,14800.81,16721.25,21882.44,25961.06
33,3304151,QuissamÆ,26238.994,34925.317,42133.11,50580.244,2570911.632,3105206.443,3812672.611,3231243.02,982360.884,1151783.228,1331363.818,1260696.027,159129.116,176950.465,211772.887,236315.144,3738640.626,4468865.453,5397942.427,4778834.434,53918.852,65294.614,72324.14,84824.996,3792559.478,4534160.067,5470266.567,4863659.431,20244,20747,21234,21806,187342.4,218545.34,257618.28,223042.26
33,3304201,Resende,16327.055,21307.278,23500.643,33205.433,2366919.025,2642014.87,2466508.693,3297974.968,1959131.328,1915106.799,2266923.995,2726181.411,544503.04,609557.847,643909.841,759672.259,4886880.448,5187986.794,5400843.172,6817034.07,881185.519,829313.04,1496115.194,2166846.155,5768065.967,6017299.834,6896958.366,8983880.225,119801,120938,122068,123385,48147.06,49755.25,56500.95,72811.77
33,3304300,Rio Bonito,7293.943,8020.18,6384.011,9247.928,270932.63,257037.798,268091.849,231221.014,549077.403,570725.544,613338.72,632665.952,254049.639,285555.655,312056.865,361621.758,1081353.615,1121339.177,1199871.446,1234756.652,91047.434,95934.151,113241,121702.64,1172401.049,1217273.328,1313112.446,1356459.292,55586,56001,56436,56942,21091.66,21736.64,23267.28,23821.77
33,3304409,Rio Claro,42389.83,44120.2,48190.899,60163.81,17323.527,9968.425,11802.379,15314.012,43065.174,46357.141,50402.265,59181.436,86841.442,96132.806,102731.979,120549.03,189619.972,196578.572,213127.522,255208.287,19106.802,17870.393,14412.671,36826.238,208726.775,214448.965,227540.193,292034.525,17401,17517,17606,17709,11995.1,12242.33,12924.01,16490.74
33,3304508,Rio das Flores,7425.865,8153.87,10254.444,10826.064,61349.483,39836.862,52888.824,37519.018,161696.852,260745.366,50244.989,45998.95,45406.329,51139.16,54826.435,62183.986,275878.53,359875.258,168214.692,156528.018,16212.451,15496.814,10396.987,13545.792,292090.982,375372.072,178611.678,170073.81,8545,8633,8703,8783,34182.68,43481.07,20523,19363.98
33,3304524,Rio das Ostras,5201.664,6811.725,7913.279,9458.617,5708870.943,8224092.689,9990932.59,9482138.123,2485823.152,3375802.005,3810787.179,4101826.746,535059.315,617677.115,745041.992,896112.915,8734955.075,12224383.53,14554675.04,14489536.4,233246.533,301643.629,362289.391,393906.836,8968201.608,12526027.16,14916964.43,14883443.24,105757,110992,116134,122196,84800.08,112855.23,128446.14,121799.76
33,3304557,Rio de Janeiro,30139.506,45669.626,55552.402,65295.003,27472262.76,29506694.66,33334375.97,37702220.87,105838022.8,116910574.8,128284417.1,144837385.3,27076703.89,30882543.08,32865725.52,37274179.68,160417129,177345482.2,194540071,219879080.8,47471125.8,51311594.65,57271095.96,62659746.09,207888254.8,228657076.8,251811167,282538826.9,6323037,6355949,6390290,6429923,32877.91,35975.29,39405.28,43941.25
